DATE,PRICE 
"""Dec2014""",0.24
"""Nov2014""",0.34
"""Oct2014""",0.19
"""Sept2014""",0.19
"""Aug2014""",0.2
"""Jul2014""",0.27
"""Jun2014""",0.24
"""May2014""",0.27
"""Apr2014""",0.56
"""Mar2014""",0.37
"""Feb2014""",0.33
"""Jan2014""",0.32
"""Dec2013""",0.29
